Date;CPI;Fraction;GS2;GS10;2y_returns;2y_real_returns;10y_returns;10y_real_returns
1988-12;120,5;1988,958333;9,134;9,137;1,001738039;1,4980406;1,002144524;1,366639163
1989-01;121,1;1989,041667;9,096;8,98;1,008277738;1,498153557;1,017897724;1,367296808
1989-02;121,6;1989,125;9,488;9,295;1,000734876;1,503070709;0,987123929;1,384872677
1989-03;122,3;1989,208333;9,669;9,275;1,004751541;1,497990349;1,009039585;1,361419901
1989-04;123,1;1989,291667;9,276;9,053;1,014934124;1,496493429;1,022225293;1,365863869
1989-05;123,8;1989,375;8,802;8,6;1,016061976;1,508971623;1,037700066;1,387146862
1989-06;124,1;1989,458333;8,042;8,077;1,020792888;1,524539497;1,042773665;1,431303378
1989-07;124,4;1989,541667;7,518;7,804;1,01602781;1,552477015;1,025538258;1,48891743
1989-08;124,6;1989,625;8,397;8,251;0,990753306;1,573555899;0,976298013;1,523259453
1989-09;125;1989,708333;8,445;8,286;1,006150838;1,556503292;1,004514322;1,48476809
1989-10;125,6;1989,791667;7,866;7,909;1,017307793;1,561065645;1,032759174;1,486698105
1989-11;125,9;1989,875;7,733;7,826;1,008917197;1,580497856;1,012303385;1,528066388
1989-12;126,1;1989,958333;7,841;7,935;1,004528;1,590791805;0,999055;1,543180836
1990-01;127,4;1990,041667;8,254;8,418;0,999235869;1,595460422;0,974207915;1,539277292
1990-02;128;1990,125;8,422;8,515;1,003914358;1,577973514;1,000534248;1,484274323
1990-03;128,7;1990,208333;8,622;8,628;1,00349661;1,576724562;0,999582498;1,478106041
1990-04;128,9;1990,291667;8,944;9,022;1,001532639;1,573631954;0,981428803;1,469452859
1990-05;129,2;1990,375;8,482;8,599;1,015599535;1,573598389;1,035678357;1,439925714
1990-06;129,9;1990,458333;8,22;8,412;1,01169977;1,594434928;1,019714938;1,487837127
1990-07;130,4;1990,541667;7,879;8,341;1,01289789;1,604396897;1,011789181;1,50899408
1990-08;131,6;1990,625;8,063;8,846;1,003308271;1,618859058;0,973684234;1,520929651
1990-09;132,7;1990,708333;7,987;8,795;1,008065673;1,609404214;1,010738567;1,467401527
